date_time,prcp(mm),atmp(mb),atmmax,atmmin,radi(KJ/m2),dewp(C),tmax,tmin,dmax,dmin,hmax(%),hmin,wdir(deg),wgust(m/s),wdsp(m/s),temp(C),hmdy(%)
2005-03-04,0.5,979.3083333333334,979.6041666666666,978.9333333333334,615.0535714285714,23.266666666666666,25.47083333333333,24.5625,23.729166666666668,22.829166666666666,92.91666666666667,87.875,130.29166666666666,3.3625000000000003,1.6124999999999998,24.929166666666664,90.70833333333333
2005-03-05,0.19999999999999998,981.2958333333332,981.65,980.9291666666667,587.0208333333334,22.97083333333333,25.358333333333334,24.633333333333336,23.258333333333336,22.662499999999998,91.0,87.0,128.83333333333334,3.516666666666667,1.8041666666666665,25.008333333333336,89.16666666666667
2005-03-06,0.0,979.5208333333334,979.875,979.2624999999999,798.5625,22.879166666666666,26.633333333333336,25.816666666666666,23.40833333333333,22.508333333333336,86.0,80.41666666666667,152.0,3.025,1.4166666666666667,26.25,82.91666666666667
2005-03-07,0.025000000000000005,979.4958333333334,979.7833333333333,979.15,385.8055555555556,22.59166666666667,25.179166666666664,24.508333333333336,23.041666666666668,22.34166666666667,89.91666666666667,85.875,206.04166666666666,4.0,1.8833333333333335,24.754166666666666,88.0
2005-03-08,0.19166666666666668,980.0,980.2958333333332,979.7958333333332,610.4108796296297,22.391666666666666,25.212500000000002,24.191666666666666,22.6875,21.958333333333332,89.83333333333333,84.41666666666667,138.95833333333334,3.466666666666667,1.4625000000000001,24.7,87.58333333333333
2005-03-09,0.44166666666666665,978.0333333333333,978.3958333333334,977.6666666666666,1015.332175925926,22.429166666666664,26.7625,25.47083333333333,23.05,21.979166666666668,85.375,79.04166666666667,134.70833333333334,3.7416666666666667,1.6541666666666668,26.083333333333332,82.375
2005-03-10,1.5166666666666666,978.8541666666666,979.1541666666667,978.5541666666667,676.1354166666666,22.520833333333332,25.270833333333332,24.316666666666666,23.0125,22.09166666666667,90.625,85.375,185.54166666666666,3.5666666666666664,1.4416666666666667,24.795833333333334,87.95833333333333
2005-03-11,0.016666666666666666,979.75,980.0416666666666,979.3791666666666,723.8125,23.008333333333336,25.7625,24.758333333333336,23.3875,22.633333333333336,90.79166666666667,85.125,184.5,3.1291666666666664,1.3958333333333333,25.233333333333334,88.16666666666667
2005-03-12,0.016666666666666666,978.5791666666668,978.9333333333334,978.2833333333333,1087.361111111111,22.7625,27.483333333333334,26.416666666666668,23.179166666666664,22.245833333333334,82.58333333333333,76.70833333333333,203.41666666666666,3.5,1.5374999999999999,27.025000000000002,79.54166666666667
2005-03-13,0.47500000000000003,978.2229166666666,978.5291666666667,977.9020833333334,286.60763888888886,23.62291666666667,25.650000000000002,25.10625,23.8875,23.416666666666668,92.0,88.39583333333333,219.29166666666666,3.6833333333333336,1.6666666666666667,25.29375,90.66666666666667
2005-03-14,0.14166666666666666,977.5500000000001,977.8625000000001,977.2624999999999,605.0555555555555,22.979166666666668,25.579166666666666,24.770833333333332,23.275000000000002,22.620833333333334,90.20833333333333,85.54166666666667,270.7916666666667,4.841666666666667,2.2333333333333334,25.1375,88.20833333333333
2005-03-15,1.3,977.8791666666666,978.1374999999999,977.5416666666666,409.1145833333333,22.52916666666667,24.670833333333334,24.125,22.829166666666666,22.212500000000002,91.54166666666667,87.83333333333333,121.95833333333333,3.2458333333333336,1.2791666666666666,24.395833333333332,89.75
2005-03-16,0.0,979.1916666666666,979.4791666666666,978.8375,901.423076923077,22.808333333333334,26.537499999999998,25.504166666666666,23.308333333333334,22.416666666666668,87.0,81.75,173.5,2.845833333333333,1.1500000000000001,26.0,84.33333333333333
2005-03-17,0.016666666666666666,979.2416666666667,979.6583333333333,978.9041666666667,707.5213675213676,22.208333333333332,25.712500000000002,24.8,22.620833333333334,21.741666666666664,87.0,81.08333333333333,166.58333333333334,3.1208333333333336,1.3666666666666665,25.27916666666667,84.0
2005-03-18,0.19999999999999998,979.8208333333333,980.1166666666667,979.5124999999999,247.7777777777778,22.583333333333332,24.291666666666668,23.7375,22.8625,22.333333333333332,93.58333333333333,89.95833333333333,205.70833333333334,3.7583333333333333,1.6875,23.954166666666666,92.125
2005-03-19,0.008333333333333333,979.1,979.3791666666666,978.85,938.1666666666666,21.795833333333334,25.766666666666666,24.8,22.233333333333334,21.145833333333332,85.70833333333333,79.5,213.20833333333334,2.716666666666667,0.9708333333333333,25.34166666666667,82.625
2005-03-20,0.09166666666666667,979.2145833333334,979.5500000000001,978.8354166666667,867.2083333333334,22.472916666666666,26.66875,25.431250000000002,23.020833333333332,21.91875,85.70833333333333,78.8125,198.625,3.220833333333333,1.2145833333333333,25.960416666666664,82.60416666666667
2005-03-21,0.3666666666666667,980.0541666666667,980.3333333333334,979.7291666666666,571.7291666666666,22.583333333333332,24.925,23.916666666666668,22.895833333333332,22.224999999999998,92.70833333333333,87.125,197.04166666666666,3.0500000000000003,1.1500000000000001,24.34166666666667,90.375
2005-03-22,1.2166666666666666,980.2333333333332,980.5208333333334,979.8833333333333,1085.5069444444446,22.441666666666666,26.608333333333334,25.495833333333334,22.95,21.804166666666664,85.79166666666667,79.29166666666667,200.95833333333334,3.641666666666667,1.3875,26.05,82.75
2005-03-23,0.041666666666666664,981.0458333333332,981.3375,980.8000000000001,1100.327380952381,22.833333333333332,27.2,26.245833333333334,23.3125,22.224999999999998,84.20833333333333,77.66666666666667,136.0,3.4,1.3458333333333332,26.754166666666666,81.04166666666667
